,smiles,LOG_HLM_CLint,LOG_RLM_CLint
33,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.219660482,2.712971095
34,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,0.675686709,1.435764759
35,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,1.506071875,2.591679978
36,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,1.822599543,2.50806218
37,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,1.427680816,2.53699252
38,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,1.209407768,2.516764029
39,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,0.990827051,2.322653372
40,C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1,1.4925369,2.504950428
41,C=CCN(Cc1cccnc1)c1nc(C)nc2sccc12,2.273702525,3.170271986
42,C=CCNC(=O)C1(Cc2ccc(-c3ccccc3)cc2)CCN(C(=O)c2cccnc2)CC1,1.884631128,2.746224617
43,C=CCNC1=C2C[C@@H](C)C[C@@H](OC)[C@@H](O)[C@@H](C)/C=C(\C)[C@@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,2.688916129,3.005442641
44,C=CCNc1ncc(-c2cnccn2)c(C2CC2)n1,1.113575717,2.865584809
45,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,1.764728927,2.772600387
46,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,1.515038878,1.831594655
47,C=CCn1cc(CNCc2csc3ccc(Cl)cc23)c(C)n1,2.540827314,3.505014919
48,C=CCn1cnc2c(Cl)cc(-c3ccc(C(=O)NC4CC4)o3)cc21,1.439837761,2.059729985
49,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,1.868620931,2.439157361
50,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.329092647,2.272106283
51,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,1.620136055,2.715512815
52,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,1.397348966,2.376374361
53,CC#CCCNC(=O)c1cccnc1C,0.675686709,1.333245699
54,CC#CCNc1ccc(-n2cnnn2)c(C)c1,1.323417121,2.116617705
55,CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,0.869173027,1.504959933
56,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,1.36660971,2.180916867
57,CC(=O)N(C)[C@@H]1CO[C@@H]2CCN(C[C@]3(O)CC[C@@H](C(C)(C)C)CC3)C[C@@H]2C[C@@]1(C)O,1.813207241,2.441376169
58,CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3cc(C)c(Cl)c(C)c3)CC2)OC[C@]1(C)O,1.892484179,2.645137231
59,CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3ccc(F)cc3F)CC2)OC[C@]1(C)O,0.675686709,1.188394071
60,CC(=O)N(CC(N)=O)c1ccc(C)cc1,0.702516697,1.631200171
61,CC(=O)N(c1ccc(C)cc1)c1nc(Cn2ccnc2)cs1,1.504362105,2.322802099
62,CC(=O)N1CCC(C(=O)Nc2nccs2)(c2ccccc2)CC1,0.758230408,2.372663501
63,CC(=O)N1CCC(CCNc2ccc3ccc(F)cc3n2)CC1,1.332458659,2.421768401
64,CC(=O)N1CCC(CNc2nccc3cccnc23)CC1,0.675686709,1.907266213
65,CC(=O)N1CCC(Cn2ccnc2-c2cc3ccccc3s2)CC1,1.66738757,2.552634152
66,CC(=O)N1CCC(Nc2ncnc3cc(-c4ccc(Br)cc4)sc23)CC1,0.806654724,1.635905772
67,CC(=O)N1CCC(c2ccc(C(=O)O)cn2)CC1,0.675686709,1.027920136
68,CC(=O)N1CCC(c2ccccn2)CC1,0.675686709,1.027920136
69,CC(=O)N1CCC2(C=Cc3cc(C)c(C)cc3O2)CC1,1.092194121,3.00812048
70,CC(=O)N1CCCC(C(=O)N2CCc3c(cccc3C(C)C)C2)C1,1.662918302,2.704202011
71,CC(=O)N1CCCN(C(=O)Cc2csc(C(C)C)n2)CC1,0.675686709,1.523304145
72,CC(=O)N1CCCN(C(=O)Nc2ccc(N(C)C3CCCCC3)c(F)c2)CC1,2.01371757,2.965628728
73,CC(=O)N1CCCN(Cc2c(C)nn(C)c2Cl)CC1,1.063971007,1.640908565
74,CC(=O)N1CCCN(Cc2ccc(C(=O)N3CCCC3)cc2)c2ccccc21,2.35636436,2.514669922
75,CC(=O)N1CCC[C@H]1C(=O)Nc1cccc(OC(F)F)c1,0.675686709,1.497593031
76,CC(=O)N1CCN(C(=O)CCc2ccc(-c3ccccc3)[nH]2)CC1,0.675686709,1.775544917
77,CC(=O)N1CCN(C(=O)CS(=O)(=O)C23CC4CC(CC(C4)C2)C3)CC1,0.675686709,2.47457754
78,CC(=O)N1CCN(C(=O)[C@H]2CCCCN2C(=O)OC(C)(C)C)CC1,0.675686709,1.027920136
79,CC(=O)N1CCN(C(=O)c2ccc(-c3ccc(F)cc3)cc2F)CC1,0.675686709,1.300552009
80,CC(=O)N1CCN(CCNC(=O)N2CCc3sccc3C2)CC1,1.005952287,1.870163865
81,CC(=O)N1CCN(Cc2nc(O)cc(C(F)(F)F)n2)C(C)(C)C1,0.675686709,1.027920136
82,CC(=O)N1CCN([C@H]2CCN(C(=O)c3cc4cc(C)ccc4o3)CC[C@@H]2O)CC1,0.861952375,2.18355738
83,CC(=O)N1CCN([C@H]2CCN(C(=O)c3cc4cc(Cl)ccc4o3)CC[C@@H]2O)CC1,0.905148002,1.986426848
84,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccc(C(C)C)cc2)CC1,2.128396037,3.298423152
85,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,2.633232054,3.553730633
86,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,1.633670406,2.335620355
87,CC(=O)N1CCN(c2ncc(-c3cc(C)no3)c([C@H]3CCCO3)n2)CC1,0.675686709,1.35987341
88,CC(=O)N1CC[C@H]2O[C@H]3c4ccc(O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)cc4OC(C)(C)[C@@H]3C[C@H]2C1,0.675686709,1.027920136
89,CC(=O)N1CCc2c(sc(NC(=O)C(C)C)c2-c2nc3ccccc3s2)C1,1.3962339,2.357718578
90,CC(=O)N1CCc2cc(Nc3nccc(C(F)(F)F)n3)ccc21,2.115007739,2.433196795
91,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3cccc(C#N)c3)C3CCN(CCC4CCCC4)CC3)cc21,2.273635458,2.500914016
92,CC(=O)N1c2ccc(S(=O)(=O)Nc3cccc(-c4cnco4)c3)cc2CC1C,1.830165073,2.438528109
93,CC(=O)N1c2ccccc2C[C@H]1C(=O)O,0.675686709,1.027920136
94,CC(=O)NC1(C(=O)N2CCCN(C3CC3)CC2)CCC(C)CC1,1.442181775,1.907669281
95,CC(=O)NC1(C(=O)N2CCCN(c3cccnn3)CC2)CCCCC1,0.888123307,1.320997417
96,CC(=O)NC1(c2ccc(F)cc2)CCN(Cc2ccc(OC3CCCC3)cc2)CC1,1.394609259,2.539204109
97,CC(=O)NC1CCC(NCCSc2ccc(C)cc2)CC1,1.808946556,2.698079657
98,CC(=O)NC1CCC(NCCc2c(C)cccc2C)CC1,0.675686709,3.055740984
99,CC(=O)NC1CCN(Cc2cccc(-c3cccnc3)c2)CC1,0.781180721,1.626494345
100,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,1.317394675,1.958473097
101,CC(=O)NCC1CCN(C(=O)c2ccc(C)nc2)CC1,0.675686709,1.027920136
102,CC(=O)NCC1CCN(C(=O)c2cncn2-c2ccc(F)cc2)CC1,0.675686709,1.467030635
103,CC(=O)NCCCC(=O)Nc1ccc(Oc2ccccc2Cl)cc1,0.982904118,2.858805992
104,CC(=O)NCCCOc1ccc(CN2C[C@H](Oc3cccc(C)c3)[C@@H](O)C2)cc1,1.083395108,2.742940262
105,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,2.357256208,2.901441974
106,CC(=O)NCCOc1ccc2ccccc2n1,1.109274738,1.94992157
107,CC(=O)NC[C@H]1C[C@]2(C)[C@@H](CCCC[C@]2(C)O)N1CC1(O)CCCC1,0.675686709,2.030356805
108,CC(=O)NC[C@H]1C[C@]2(C)[C@@H](CCCC[C@]2(C)O)N1CC1(O)CCCCCC1,1.709074824,2.768789005
109,CC(=O)NC[C@H]1C[C@]2(C)[C@@H](CCCC[C@]2(C)O)N1CC1(O)CCOCC1,0.953276337,1.614433159
110,CC(=O)NCc1cc2n(n1)CCN(C1Cc3ccccc3C1)C2,0.675686709,1.027920136
111,CC(=O)NCc1ncc(-c2ccccc2C(=O)O)cn1,0.675686709,1.027920136
112,CC(=O)N[C@H]1CC2(CCN(C(=O)COc3cc(C)c(Cl)c(C)c3)CC2)OC[C@]1(C)O,1.387425423,2.219951086
113,CC(=O)N[C@H]1CCN(C(=O)N[C@H](C)C(c2ccccc2)c2ccccc2)C1,1.803341015,2.916352865
114,CC(=O)Nc1cc(CCC2CCNCC2)ccn1,0.675686709,1.027920136
115,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,1.609647759,2.808125186
116,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,1.727004157,2.813429526
117,CC(=O)Nc1ccc(C(=O)N2CCc3ncncc3C2)cc1,0.675686709,1.027920136
118,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,0.978819387,1.814447379
119,CC(=O)Nc1ccc(CNCCOc2ccc(F)cc2F)cc1,1.097500252,2.057768771
120,CC(=O)Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)cc1,1.590563209,2.641757598
121,CC(=O)Nc1ccc(S(=O)(=O)NC2=NCN(Cc3ccccc3)CN2)cc1,0.675686709,1.027920136
122,CC(=O)Nc1ccc2nc(C)cc(O)c2c1,0.675686709,1.027920136
123,CC(=O)Nc1ccc2nc(N3CCOCC3)sc2c1,0.675686709,1.364475949
124,CC(=O)Nc1cccc(CN2CCCN(C(C)=O)c3ccccc32)c1,2.143629875,2.96343978
125,CC(=O)Nc1cccc(OC(=O)N2CCOCC2)c1,0.877428941,1.027920136
126,CC(=O)Nc1cccc(OCC(=O)N2CCCCC2)c1,0.675686709,2.098847848
127,CC(=O)Nc1ccccc1CN1CCC(c2nnc3ccccn23)CC1,1.000390689,2.058422228
128,CC(=O)Nc1ccccc1OCCOc1ccc(Cl)cc1,1.981184137,2.822593009
129,CC(=O)Nc1ccnn1C1CCN(Cc2ccccc2C#Cc2ccccc2)CC1,1.916343387,2.705213494
130,CC(=O)Nc1cnn(CC2CCN(C)CC2)c1,0.675686709,1.027920136
131,CC(=O)Nc1nc(-c2c(C)cc(C)cc2C)cs1,1.396948687,3.372758685
132,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,0.675686709,1.150111425
133,CC(=O)Nc1sc2c(c1-c1nc3ccccc3s1)CCN(C(C)C)C2,1.542161534,2.363551219
134,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1.10561236,1.539841088
135,CC(=O)c1cc(Br)cc(F)c1OCc1ccccn1,1.81973472,2.499662344
136,CC(=O)c1ccc(-c2ccc(-c3nn[nH]n3)cc2)cc1,1.045127307,1.721967164
137,CC(=O)c1ccc(OCCCCN2CCCC2)cc1,0.675686709,2.656148052
138,CC(=O)c1ccc2c(c1)CCN(CC1CCC3(CC1)OCCO3)CC2,0.675686709,2.359412361
139,CC(=O)c1ccc2c(c1)CCN(CCC1OCCO1)CC2,0.919025765,1.750060756
140,CC(=O)c1ccccc1-c1cccc(C(=O)NCCCN2CCCC2)c1,0.675686709,2.870664872
141,CC(=O)n1c(/C=C2/N=C(c3ccc(F)cc3)OC2=O)cc2ccccc21,2.035437744,2.158657953
142,CC(C(=O)N1CCc2sccc2C1)N1CCCN(c2ccccc2C#N)CC1,3.328241341,3.626562181
143,CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCCC(c2nc3ccccc3o2)C1,2.262629043,3.338218563
144,CC(C(=O)Nc1ccccc1)N1CCCN(c2nccs2)CC1,2.662653022,3.304632684
145,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,2.174678956,2.98227259
146,CC(C)(C(=O)NCc1ccccn1)c1ccccc1,0.675686709,2.139107371
147,CC(C)(C(=O)c1ccccc1)/[N+]([O-])=C/c1ccc(F)cc1,0.882809041,1.788111782
148,CC(C)(C)C(=O)N1CCC(CN(CC(N)=O)C2CCCC2)CC1,1.47444938,3.148166599
149,CC(C)(C)C(=O)N1CCC(CN2C(=O)C(=O)N(C3CCCC3)C2=O)CC1,1.345059906,2.45996062
150,CC(C)(C)C(=O)N1CCC(CN2CCCC[C@@H]2CO)CC1,0.675686709,1.469011559
151,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,2.347780667,3.158208351
152,CC(C)(C)C(=O)N1CCC(NS(C)(=O)=O)CC1,0.675686709,1.027920136
153,CC(C)(C)C(=O)N1CCN(C(=O)CCN2CCOC2=O)CC1,0.675686709,1.027920136
154,CC(C)(C)C(=O)Nc1nnc(Cc2ccccc2)s1,0.675686709,2.818199492
155,CC(C)(C)CC(=O)N1CCC(OCCCN)CC1,0.675686709,1.027920136
156,CC(C)(C)CCCNC(=O)N1CCN(Cc2ccon2)CC1,1.233046902,2.794642079
157,CC(C)(C)C[C@@H]1COCc2nc(OCc3ccccn3)cc(=O)n21,0.849726444,2.433891387
158,CC(C)(C)N1CCCN(C(=O)CNc2ccc(C#N)cc2)CC1,0.675686709,1.815119306
159,CC(C)(C)NC(=O)Cn1nc(C(c2ccccc2)c2ccccc2)oc1=O,1.350616237,2.873526944
160,CC(C)(C)NC(=O)NCCn1nc2c(cc1=O)CCCC2,1.084540532,2.020725804
161,CC(C)(C)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,1.619166403,2.223550451
162,CC(C)(C)NC(=O)c1cncn1C1CCN(c2ccc(-c3nnc(C(F)(F)F)o3)cn2)CC1,0.675686709,1.402398959
163,CC(C)(C)OC(=O)N1CCCN1C(=O)c1cc2cc(Cl)ccc2[nH]1,1.673849977,2.836996561
164,CC(C)(C)OC(=O)NCCCC(=O)N[C@H]1C[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@@H](O)[C@H]1O,2.042843173,2.20306826
165,CC(C)(C)OC(=O)NCc1ccc(C(=N)NC(=O)OCc2ccccc2)cc1,1.9259718,3.115318554
166,CC(C)(C)OC(=O)c1ccc(-n2[nH]cc(-n3ccnn3)c2=O)nc1,0.675686709,1.316263972
167,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,1.458411201,2.150962029
168,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,0.675686709,2.165499544
169,CC(C)(C)c1cc(C(=O)CSc2nncn2-c2ccccc2)cc(C(C)(C)C)c1O,1.200689847,1.668087787
170,CC(C)(C)c1cc(C(=O)CSc2nnnn2-c2ccccc2)cc(C(C)(C)C)c1O,1.41703964,1.746517539
171,CC(C)(C)c1cc(NC(=O)c2cccc3cn[nH]c23)[nH]n1,0.993259831,2.245922093
172,CC(C)(C)c1cc(NS(=O)(=O)c2c(Cl)cccc2Cl)cc(C(C)(C)C)c1,1.952101391,3.013715165
173,CC(C)(C)c1cc(NS(=O)(=O)c2cccc(F)c2)cc(C(C)(C)C)c1,1.000859761,2.485189486
174,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,0.932980822,2.281224324
175,CC(C)(C)c1ccc(=O)n(CC2CN(CC3(O)CCCC3)C2)n1,0.801472314,2.039992793
176,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,1.781252594,1.407560849
177,CC(C)(C)c1ccc(C2=NC3(CCNCC3)NC2=O)cc1,0.814247596,1.775457526
178,CC(C)(C)c1ccc(CN2CCC(C(N)=O)CC2)cc1,0.675686709,2.159338557
179,CC(C)(C)c1cnc(CN2CCC(=O)Nc3cc(F)ccc32)o1,1.994031049,2.977713091
180,CC(C)(C)c1csc(CCNC(=O)N2CCSCC2)n1,2.105251234,2.980318405
181,CC(C)(C)c1csc(Cn2ccnc2-c2ccccn2)n1,2.084754963,3.417478502
182,CC(C)(C)c1csc(NC(=O)C2CC2)n1,1.306167592,1.949546129
183,CC(C)(C)c1nc(Cn2nnc3ccccc3c2=O)no1,0.675686709,2.076582194
184,CC(C)(C)c1nc(O)c2nnn(C3CCNCC3)c2n1,0.675686709,1.027920136
185,CC(C)(C)c1nccc(NCc2ccncc2)n1,1.148787684,2.873938755
186,CC(C)(C)c1nnnn1CC(=O)NC12CC3CC(CC(C3)C1)C2,1.75869242,2.714415269
187,CC(C)(C)n1cc(CNc2cccnc2)cn1,0.675686709,1.61992771
188,CC(C)(C)n1ncc(C(=O)N2CCCn3ncnc32)c1C(F)(F)F,1.445012288,2.574546325
189,CC(C)(C)n1ncc(OCc2ccc(OCCOCCO)nc2)c(Cl)c1=O,0.913336926,1.94509913
190,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,2.728516916,3.056338375
191,CC(C)(CNc1cnn(CCO)c1)c1ccccc1,0.92417587,2.510217826
192,CC(C)(CO)NCCCCn1c2ccccc2c2ccccc21,1.734055373,2.212283512
193,CC(C)(O)C(=O)N1CCC(c2ccc3c(NCc4ccccc4F)n[nH]c3n2)CC1,0.921842481,1.843743412
194,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,0.996380313,1.629093448
195,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)F)n3)c(OCC3COC3)cc2n1,0.892094603,1.858140016
196,CC(C)(O)CCn1cc2cc(NC(=O)c3ccn(C(F)F)n3)c(OCC3COC3)cc2n1,0.675686709,1.124927879
197,CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccnc(Cl)c3)n2)c(CC2CC2)n1,1.372948806,2.172588338
198,CC(C)(O)Cn1nc(-c2ccccc2)c2c(Cl)c(-c3ccccc3)nnc21,0.675686709,1.932016906
199,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,0.675686709,1.027920136
200,CC(C)=CCOc1cccc(C(=O)NN2CCOCC2)c1,0.675686709,2.770149948
201,CC(C)C(=O)N1CC(Cc2nccc3ccn(C)c23)C1,0.675686709,1.715351413
202,CC(C)C(=O)N1CCC(Nc2ncnc3ccsc23)CC1,0.675686709,1.283323848
203,CC(C)C(=O)N1CCn2nc(CNC3CCc4ccccc4CC3)cc2C1,0.675686709,2.311870363
204,CC(C)C(=O)Nc1ccc2cnn(C(C)C)c2c1,1.145910834,1.746696459
205,CC(C)C(=O)Nc1ncn(Cc2cccnc2)n1,0.675686709,1.027920136
206,CC(C)CC(=O)N1CCC(Cc2cccc(-c3cncnc3)c2)(C(=O)NC(C)C)CC1,2.299814443,2.841433307
207,CC(C)CC(=O)NCC(=O)N1CCCC1,0.675686709,1.027920136
208,CC(C)CC(=O)Nc1cccnc1N(C)C,0.675686709,1.762746065
209,CC(C)CCCNC(=O)c1[nH]ncc1Br,1.217957462,2.870509832
210,CC(C)CCN1CCC(CNC(=O)C2CC=CC2)CC1,1.098158983,2.15012372
211,CC(C)CCN1CCC(CNS(C)(=O)=O)CC1,0.675686709,1.027920136
212,CC(C)CCN1CCc2nc3cc(C4CC4)nn3c(O)c2C1,0.882068944,1.481456961
213,CC(C)CCN1CCn2c1nc1c2c(=O)n(C)c(=O)n1C,1.420764137,1.998734361
214,CC(C)CCNC(=O)CSc1nc2ccccc2[nH]1,2.056447458,3.043819913
215,CC(C)CCNC(=O)c1ccc2ccccc2n1,2.226452968,2.805974993
216,CC(C)CCn1ccc(NC2CCN(C(C)C)CC2)n1,0.675686709,2.181168765
217,CC(C)CN(Cc1cnn(C)c1)C(=O)c1cccc(-c2cnccn2)c1,2.651701439,3.676246468
218,CC(C)CN(c1ncnc2c1cnn2C)C1CC1,1.703334375,2.538211671
219,CC(C)CN1C(=O)C(=O)N(Cc2ccccn2)C1=O,0.675686709,1.453944862
220,CC(C)CN1CC[C@H](c2nc3ccc(C#N)cc3[nH]2)C1,0.825361196,1.882735088
221,CC(C)CNc1nnc(SCc2ccncc2)s1,1.490239485,2.800070653
222,CC(C)COc1ccc(C(C)(C)NCc2nnc(C3CCC3)o2)cc1,2.102111124,3.487681399
223,CC(C)C[C@@H](C(N)=O)n1ccnc1-c1cccc2ccccc12,2.517362192,3.149882061
224,CC(C)C[C@@H](CO)n1cc(-c2ccccc2Cn2cccn2)nn1,2.003417445,2.709698107
225,CC(C)C[C@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@@H](O)C(=O)NO,1.742921423,2.776868188
226,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2nc(N)sc12,1.604539237,2.517313366
227,CC(C)Cc1cc(CN2CCN(S(=O)(=O)N3CCOCC3)CC2)n[nH]1,1.331690426,2.453306106
228,CC(C)Cc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3)no2)cc1,0.880813592,1.230448921
229,CC(C)Cc1ccccc1CNCc1ccc2[nH]cnc2c1,1.746400644,2.883857249
230,CC(C)Cc1n[nH]c(-c2ccc(N3CCN(C)CC3)cc2)n1,0.675686709,2.373252312
231,CC(C)Cc1nn(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc12,2.436576064,3.310521897
232,CC(C)Cc1sc(N)nc1-c1ccc(P(=O)(O)O)o1,0.675686709,1.027920136
233,CC(C)Cn1c(=O)[nH]c(=O)c2c1nc1n2CCCCC1,0.856003454,1.449786847
234,CC(C)Cn1cnc2c1c(=O)[nH]c(=O)n2CC(C)C,0.675686709,1.868850077
235,CC(C)N(C(=O)Cn1cccc2cc(-c3ccco3)nc1-2)C(C)C,2.57133026,3.251663037
236,CC(C)N(C(=O)Cn1cccc2cc(C(F)F)nc1-2)C(C)C,2.45448356,2.639586087
237,CC(C)N(C)S(=O)(=O)N1CCC(CNC(=O)CCCn2cccn2)CC1,1.212400703,2.455434186
238,CC(C)N(C)S(=O)(=O)NCCCc1nc2cc(Cl)ccc2[nH]1,2.12602745,3.398339897
239,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@H]1O,2.548436101,3.303912592
240,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@H]1O,2.272465891,3.284991458
