smiles,LOG_RLM_CLint
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C,3.313825265
CCONC(=O)c1cnn(-c2cccc(Cl)c2)c1,2.649659971
CCS(=O)(=O)Cc1ccn(-c2cccc(F)c2)n1,1.587542601
CCc1c(N)cnn1-c1ccccc1C,2.217907504
COc1ccc(C)cc1-n1ccc(C(=O)NC(C)C)n1,2.524216914
CS(=O)(=O)Cc1ccn(-c2ccccc2)n1,1.027920136
Cc1cc(C(=O)NC(C)(C)C#N)nn1-c1ccc(F)cc1,1.294201601
Cc1cc(Cl)n(-c2ccc(C#N)cc2)n1,2.491841954
Cc1ccc(-n2cc(C)cn2)c(NC(=O)CN(C)C)c1,2.639512387
Cc1ccccc1-n1nc(C(C)(C)C)cc1N,1.027920136
C#CCNC(=O)CCc1c(C)nn(C)c1C,1.027920136
C#CCNC(=O)c1cc(C(C)C)nn1CC,1.094610863
CC(C)CCCNC(=O)c1[nH]ncc1Br,2.870509832
CCN(Cc1cnn(C(C)C)c1)C(=O)NCCC(C)(C)OC,2.211504986
CCSCCC(=O)NCCn1nc(C)c(CC)c1C,3.187317062
CCc1cc(NS(C)(=O)=O)n(C)n1,1.027920136
CON(C)C(=O)CCc1c(C)nn(C)c1C,1.451279719
CONC(=O)c1c(C)nn(C)c1Cl,1.027920136
Cc1nn(C(F)F)c(C)c1CC(=O)NCCNC(C)(C)C,2.403123954
CCNC(=O)c1ccc(-c2cc(C)cc(OC)c2OC)nc1,1.969075613
CCNC(=O)c1ccnc(-c2ccc(F)c(C)c2)c1,3.029882321
CCOc1cccc(-c2cccc(N)n2)c1,2.745395707
CN(CCO)C(=O)c1ccc(-c2cccc(C(F)(F)F)n2)cc1,1.734551819
COc1cc(F)ccc1-c1ncccc1NC(=O)C(C)C,1.410321618
COc1ccc(C)nc1-c1ccc(OC)c(OC)c1OC,2.554897217
COc1cccc(-c2cccc(N)n2)c1F,2.411279544
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,2.26011911
CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,2.220701567
CNC(=O)Cn1ccc2cc(OC)ccc21,1.999652425
CON(C)C(=O)Cc1c(C)[nH]c2ccccc12,1.847554152
CON(C)C(=O)c1cc2ccc(C(C)(C)C)cc2[nH]1,2.537113581
CON(C)C(=O)c1cccc2c(C)c(C)[nH]c12,2.291526465
Cc1ccc2cc(C(=O)N(C)CCC#N)[nH]c2c1,2.087809802
Cc1ccc(Cn2nc(C)c(C(N)=O)c2Cl)cc1,2.554136493
Cc1cnn(Cc2cc(F)ccc2F)c1N,1.027920136
Cc1nn(Cc2cccc(Br)c2)c(C)c1C(=O)O,1.027920136
NC(=O)c1cnn(Cc2cccc(F)c2)c1,1.027920136
NCCc1cnn(Cc2ccccc2)c1,1.027920136
Nc1ccnn1Cc1ccc(Cl)c(F)c1,1.563065578
Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1,2.330279811
Cc1cccc(Oc2cc(CN)ccn2)c1C,2.721654835
Cc1cccc(Oc2ncccc2N)c1C,2.488247451
Cc1ccnc(Oc2cc(N)ccc2C)c1,2.362325995
NCc1ccc(Oc2ccccc2)nc1,1.702990278
Nc1ccc(Oc2ccccc2F)nc1,1.417604535
CC(C)CCNC(=O)CSc1nc2ccccc2[nH]1,3.043819913
CC(C)N(C)S(=O)(=O)NCCCc1nc2cc(Cl)ccc2[nH]1,3.398339897
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,2.562956293
CCCNC(=O)CSc1nc2cc(C)ccc2[nH]1,3.073910717
COC[C@@H](O)Cn1c(C)nc2ccccc21,1.027920136
Cc1cc2ncn(CC(=O)NC(C)(C)C)c2cc1C,1.845470133
CC(C)(C)C(=O)N1CCC(NS(C)(=O)=O)CC1,1.027920136
CC(C)(C)CC(=O)N1CCC(OCCCN)CC1,1.027920136
CC(C)CCN1CCC(CNS(C)(=O)=O)CC1,1.027920136
CCN(CC)C(=O)N1CCC(C(=O)O)CC1,1.027920136
CN(C)S(=O)(=O)CCCN1CCC(CCC(N)=O)CC1,1.027920136
COC(C)(C)CCNC(=O)CC1CC(C)(C)NC(C)(C)C1,1.613471827
CNC(=O)c1cc(C2CCN(C)CC2)ncn1,1.027920136
Cc1nc(C2CCNCC2)cc(N(C)C)n1,1.027920136
Cc1nc(N(C)C)cc(C2(C)CCNCC2)n1,1.264132797
Cc1nccc(C2(C)CCN(CC(N)=O)CC2)n1,1.027920136
OCCN1CCC(c2ccncn2)CC1,1.546258799
CN(C(=O)c1cccc(C(=O)O)c1)c1ccccc1,1.027920136
CN(C)C(=O)c1ccc(NC(=O)c2cccc(F)c2)cc1,1.839905218
COc1ccccc1C(=O)Nc1cccc(C#N)c1,1.908168566
CSc1ccc(C(=O)Nc2cccc(C(=O)NCC(C)C)c2)cc1,3.42412161
Cc1ccc(C(=O)Nc2ccccc2C#N)cc1,2.237164067
CCONC(=O)c1cncn1-c1ccc(F)cc1,1.027920136
CONC(=O)c1cn(-c2ccc(Br)cc2)cn1,2.665532212
Cc1cc(-n2ccnc2)ccc1C(=O)O,1.027920136
Cc1nccn1-c1ccc(F)cc1CNC(=O)C(C)C,1.757069426
N#Cc1c(Cl)nc(N)n1-c1ccccc1,1.44294987
CCOCCNC(=O)c1cccc(-c2cc(F)ccc2OC)c1,2.913366617
CCOc1ccc(-c2ccccc2NC(=O)COC)cc1,3.62353676
CN(C)Cc1ccc(-c2ccccc2C(=O)O)cc1,1.027920136
COc1cc(C)cc(OC)c1-c1ccc(OCC(N)=O)cc1,2.403695195
NC(=O)COc1ccccc1-c1ccccc1,1.878757262
CCN(CC)Cc1cnc(NC(=O)c2ccccc2)s1,2.284299862
CCc1nc(NC(=O)c2ccccc2F)sc1C,2.164834477
COc1cccc(C(=O)Nc2nccs2)c1,2.781770449
Cc1ccccc1C(=O)Nc1nc(C)c(C)s1,2.447708306
Cc1csc(NC(=O)c2cccc(C)c2C)n1,2.961711002
CCCn1ncnc1-c1ccccc1SC,2.883842495
Cc1nc(-c2ccc(C)c(O)c2)n(C(C)(C)C)n1,2.091737283
Cc1nc(-c2ccc(Cl)c(Cl)c2)n(CC(C)(C)O)n1,1.027920136
N#CCCn1ncnc1-c1cccc(C#N)c1,1.027920136
N#CCn1ncnc1-c1cccc(C#N)c1,1.705709801
CC(C)(C)c1cc(NS(=O)(=O)c2c(Cl)cccc2Cl)cc(C(C)(C)C)c1,3.013715165
CC(C)(C)c1cc(NS(=O)(=O)c2cccc(F)c2)cc(C(C)(C)C)c1,2.485189486
Cc1cc(C)c(S(=O)(=O)Nc2ccccc2)c(C)c1,3.618827244
O=S(=O)(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccccc1,1.23299611
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1.165562747
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCCC(c2nc3ccccc3o2)C1,3.338218563
CSc1ccccc1NC(=O)CN1CCCC(c2nc3ccccc3o2)C1,3.669126847
Cc1ccc(NC(=O)CN2CCCC(c3nc4ccccc4o3)C2)cc1C,3.41640083
NC(=O)c1ccccc1NC(=O)CN1CCCC(c2nc3ccccc3o2)C1,2.917721815
O=C(CN1CCCC(c2nc3ccccc3o2)C1)Nc1ccc(OC(F)(F)F)cc1,2.695767901
CC(=O)Nc1nc(-c2c(C)cc(C)cc2C)cs1,3.372758685
CCOc1ccc(-c2csc(N)n2)cc1,2.528736778
CCc1sc(N)nc1-c1ccc(OC)cc1,2.691289302
COCc1nc(-c2cc(F)ccc2F)c(C)s1,2.628320459
COc1ccc(-c2nc(CC(N)=O)sc2C)cc1,2.045510741
CC(=O)N1CCCC(C(=O)N2CCc3c(cccc3C(C)C)C2)C1,2.704202011
CCC(=O)N1CCCC(C(=O)N2CCc3c(Cl)cc(Cl)cc3C2C)C1,3.17909284
CCCS(=O)(=O)N1CCCC(C(=O)N2CCc3ccccc3C2)C1,3.004767908
COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(=O)OC(C)(C)C)C1)CC2,2.808478357
COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(C)=O)C1)CC2,1.298044843
C#CCNC(=O)Cc1coc2cc(OC)ccc12,2.263446689
CC(C)c1ccc2occ(CC(=O)O)c2c1,1.027920136
CCONC(=O)Cc1coc2c(C)c(C)ccc12,3.024431891
CSCc1c(C(=O)NC(C)C)oc2ccccc12,2.564701564
Cc1cc2cc(C(=O)N(C)CCC(=O)O)oc2cc1C,1.027920136
Cc1cc(Br)cn(Cc2ccc(C#N)cc2F)c1=O,2.009990242
Cc1cccn(Cc2cccc(C#N)c2)c1=O,1.459844642
Cc1cccn(Cc2cccc(F)c2)c1=O,1.857248042
Cc1cccn(Cc2ccccc2F)c1=O,1.783167226
COc1cc(CN(C)C(=O)Nc2cccc(C)c2C)ccc1O,2.135615992
COc1ccc(CN(C)C(=O)Nc2ccccc2)cc1F,2.808804935
O=C(NCc1ccc(CO)c(F)c1)Nc1ccccc1,1.317080886
O=C(NCc1cccc(O)c1)Nc1ccccc1F,1.76993092
COCC(=O)Nc1ccc(C)c(NC(=O)[C@H](OC)c2ccccc2)c1,1.652720034
COCC(=O)Nc1ccc(NC(=O)Cc2cc(C)ccc2C)cc1,1.884115362
COCC(=O)Nc1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1,1.94899457
Nc1ccc(CC(=O)Nc2ccccc2F)cc1,1.027920136
CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,3.002748188
COc1cccc(-c2nc(C(=O)O)cs2)c1OC,1.027920136
COc1ccccc1-c1nc(C(=O)O)cs1,1.027920136
Cc1ccc(-c2nc(CC(=O)NCCC(C)C)cs2)cc1,3.786244663
CN(Cc1c(F)cccc1Cl)C(=O)c1ccc(-n2ccnc2)nc1,3.220411988
CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(-n2ccnc2)nc1,1.66669578
Cc1ccccc1CNC(=O)c1ccc(-n2ccnc2)nc1,1.548119052
O=C(NCc1ccc(F)cc1)c1ccc(-n2ccnc2)nc1,1.477323878
CCSCc1nc(N)c2ccccc2n1,2.081602912
CN(C)C(C)(C)CNc1ncnc2ccccc12,2.466869103
NC(=O)COc1ncnc2ccccc12,1.027920136
Nc1nc(N)c2c(Cl)c(Br)ccc2n1,1.927796235
CCONC(=O)c1sc(C)nc1C,1.027920136
COCC(=O)Nc1nc(C)c(C)s1,1.852949412
CSCc1csc(NC(C)=O)n1,2.394859516
Cc1cnc(C(C)(C)NCC(=O)N(C)C)s1,1.320644711
CCCNC(=O)c1ccc(OC2CCN(C)CC2)cc1,1.54550504
Cc1cccc(OC2CCN(CC(N)=O)CC2)c1,1.827317568
N#Cc1ccc(OC2CCNCC2)cc1,1.027920136
NC(=O)CN1CCC(Oc2cccc(F)c2)CC1,1.854700676
CC(C)c1noc(-c2ccc(N)cc2)n1,2.198013415
CCc1noc(-c2ccc(C)c(N)c2)n1,2.292397859
CCc1noc(-c2ccc(CCN)cc2)n1,1.736579744
Cc1noc(-c2ccccc2C(=O)O)n1,1.027920136
CC(C)(C)c1ccc(CN2CCC(C(N)=O)CC2)cc1,2.159338557
CC1(C(=O)O)CCN(Cc2ccccc2)CC1,1.027920136
CCCS(=O)(=O)NC1CCN(Cc2ccc(C)c(OC)c2)CC1,2.901865724
OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,2.476100913
CC(C(=O)Nc1ccccc1)N1CCCN(c2nccs2)CC1,3.304632684
COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,3.290326493
Cc1c(Cl)cccc1NC(=O)C(C)N1CCCN(c2nccs2)CC1,3.642941685
O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,3.290218758
CC(=O)NCc1ncc(-c2ccccc2C(=O)O)cn1,1.027920136
COc1cc(OC)cc(-c2c(C)ncnc2OC)c1,2.030190734
COc1ncc(-c2cccc(N(C)C)c2)c(OC)n1,3.348596113
COc1ncnc(C)c1-c1cccc(OC(C)C)c1,3.025720705
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccc(C(C)C)cc2)CC1,3.298423152
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,3.553730633
CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)COc2ccccc2)CC1,3.264134452
COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,3.525185185
CC(=O)N1CCC(c2ccc(C(=O)O)cn2)CC1,1.027920136
CC(=O)N1CCC(c2ccccn2)CC1,1.027920136
CCCC(=O)N1CCC(c2cccc(C)n2)CC1,2.645975102
COCCNC(=O)c1ccnc(C2CCNCC2)c1,1.206123964
NC(=O)c1cccc(Cn2cnc3c(oc4ccccc43)c2=O)c1,1.278639298
O=c1c2oc3ccccc3c2ncn1Cc1ccc(Cl)cc1,2.957348165
O=c1c2oc3ccccc3c2ncn1Cc1ccc(F)c(F)c1,2.896364705
Fc1cccc(CN2CCN(c3ncccn3)CC2)c1,3.048810681
Fc1ccccc1CN1CCN(c2ncccn2)CC1,2.902895597
Oc1cccc(CN2CCN(c3ncc(Br)cn3)CC2)c1,2.480900497
Cc1nc(NCc2ccc(F)c(Cl)c2)n(C)n1,1.551913324
Cc1nc(NCc2ccc(F)cc2)n(C)n1,1.027920136
Cn1ncnc1NCc1cc(F)cc(F)c1,1.027920136
Cc1nc(-c2ccccc2)c(C(=O)Nc2cc(Cl)cc(Cl)c2)s1,2.361487964
Cc1nc(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(Cl)c2)s1,3.377925553
O=C(Nc1ccccc1)c1scnc1-c1ccccc1,3.016727973
COc1cccc(O[C@H]2CCN(C(=O)c3cc(-c4ccc(C)cc4)on3)CC[C@@H]2O)c1,3.025956001
COc1cccc(O[C@H]2CCN(C(=O)c3cc(-c4ccc(F)cc4)on3)CC[C@@H]2O)c1,2.761214951
O=C(c1cc(-c2ccc(F)cc2)on1)N1CC[C@H](Oc2ccccc2F)[C@@H](O)CC1,2.777962291
COc1cccc(NC(=O)CNc2cccc(-c3ccnc(C)n3)c2)c1,2.398681151
Cc1nccc(-c2cccc(NCC(=O)N(C)c3ccccc3)c2)n1,2.602668663
Cc1nccc(-c2cccc(NCC(=O)Nc3ccc(F)cc3)c2)n1,2.482729271
COc1ccc(S(=O)(=O)N2CCC[C@H](C(=O)Nc3cccc4ncccc34)C2)cc1,2.786234503
O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,2.843579701
O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,2.73638694
COc1ccc(/C=C/C(=O)c2c(C)nc3ccccc3c2N)c(OC)c1,2.91044777
COc1ccc(/C=C/C(=O)c2c(C)nc3ccccc3c2N)cc1,3.075357144
Cc1nc2ccccc2c(N)c1C(=O)/C=C/c1ccccc1,2.9648011
COCCN1CCOc2nc3c(C)cccc3cc2C1,2.945691092
COc1ccc2nc3c(cc2c1)CNCCO3,1.9159114
Cc1ccc(C)c2nc3c(cc12)CNCCO3,2.369666622
CNC(=O)CC1CCN(c2ncccn2)CC1,1.027920136
Cc1cc(CO)nc(N2CCCCC2)n1,2.053754341
NC(=O)CC1CCN(c2ncccn2)CC1,1.027920136
CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,2.878798599
CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,2.992100431
CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,2.747637831
CN(Cc1ccc(N)nc1)c1ncccn1,1.357401175
Cc1cc(C)nc(NCc2cnc(C)c(C)c2)n1,2.210449618
Cc1ccnc(NCc2cccnc2)n1,1.217904874
CN(C)CCN(Cc1ccccc1)Cc1ccccc1O,3.140291785
CN(Cc1ccc(CO)cc1)Cc1cc(F)c(F)c(F)c1,2.569665293
CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,3.625142096
CCn1cc(NC(=O)c2ccccc2C)cn1,1.027920136
Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1,1.027920136
NCCn1cc(NC(=O)c2ccccc2)cn1,1.027920136
CCc1cc(N(C)Cc2ccc(N)nc2)nc(C)n1,1.027920136
CCc1ncnc(N(C)Cc2ccc(N)nc2)c1F,1.645648201
Cc1nccc(N(C)Cc2ccc(N)nc2)n1,1.027920136
CCOc1cccc(CNCCc2c[nH]c3ccccc23)c1,3.122647009
CCOc1ccccc1CNCCc1c[nH]c2ccccc12,3.335979142
Fc1cccc(Cl)c1CNCCc1c[nH]c2ccccc12,3.332564892
CCOc1ccc2[nH]c(C(=O)N3CC[C@@](O)(CC(C)C)[C@@H](Oc4ccc(F)cc4)C3)c(C)c2c1,2.974696793
CCc1c(C(=O)N2CC[C@@](O)(CC(C)C)[C@@H](Oc3ccc(F)cc3)C2)[nH]c2ccc(C)cc12,3.111775834
Cc1cc(C)c2[nH]c(C(=O)N3CC[C@@](O)(CC(C)C)[C@@H](Oc4ccc(F)cc4)C3)c(C)c2c1,3.281688408
CCOc1ccc(CN[C@@H]2CCC[C@H]2Cc2cc(C)no2)cc1OC,3.34628039
COc1cc(CN[C@@H]2CCC[C@H]2Cc2cc(C)no2)ccc1OC(C)C,3.375901268
COc1ccc(CN[C@@H]2CCC[C@H]2Cc2cc(C)no2)cc1OC,3.04908306
CCN(CC)CC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.371104822
CCOC(C)C(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.879800964
CS(=O)(=O)CCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.027920136
CCCC(=O)Nc1ccc(-n2cccn2)nc1,1.502577322
Cc1cc(C(=O)O)nn1-c1ccccn1,1.027920136
Cc1ccc(CN)c(-n2cc(Cl)cn2)n1,1.437433444
CCC(CC)NC(=O)c1ccc2ncsc2c1,1.311287539
COc1cc2nc(N)sc2cc1OC,1.098920479
Cc1cccc2sc(NC(=O)C(C)(C)C)nc12,2.31700345
CC1(C)CCCN1C(=O)c1c(F)cc(C#N)cc1F,1.842971001
COc1ccc(C(=O)N2CCCC2)cc1NC(C)C,1.938339566
NCc1cccc(C(=O)N2CCCC2)c1,1.027920136
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,2.808125186
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,2.813429526
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,3.177817186
CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3cc(C)c(Cl)c(C)c3)CC2)OC[C@]1(C)O,2.645137231
CC(=O)N(C)[C@H]1CC2(CCN(C(=O)COc3ccc(F)cc3F)CC2)OC[C@]1(C)O,1.188394071
CC(=O)N[C@H]1CC2(CCN(C(=O)COc3cc(C)c(Cl)c(C)c3)CC2)OC[C@]1(C)O,2.219951086
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1,2.504950428
COc1ccc(C(=O)c2ccc(C)cc2)c(OC)c1,3.478520755
COc1ccc(C(=O)c2ccc(Cl)cc2)c(OC)c1,3.241915623
O=c1c2sccc2nc2n1CCN(Cc1cc(F)ccc1F)CC2,3.339392405
O=c1c2sccc2nc2n1CCN(Cc1ccc(F)cc1F)CC2,3.163096047
O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,2.280027186
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,2.014996993
O=S(=O)(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1ccc(Cl)cc1,3.468993564
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cccc(-c3nc4ccccc4[nH]3)c2)cc1,2.996752831
O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,3.584599974
O=C([C@H]1CCCN(Cc2ccc(F)cc2)C1)N1CCc2ccccc2C1,3.563233491
O=C(O)c1ccccc1-c1ccc(CN2CCCCC2)cc1,1.734535813
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,3.346903123
O=C(O)c1cc(/C=C/c2csnn2)nc2ccccc12,1.027920136
Oc1ccc2nc(/C=C/c3csnn3)ccc2c1Cl,2.380290855
O=C(Nc1cc(Cl)ccc1Cl)c1cccc(N2CCCC2=O)c1,2.986506599
O=C(Nc1cccc(Cl)c1F)c1cccc(N2CCCC2=O)c1,2.951315658
O=C(NCc1ccc(F)cc1)C1CCN(C(=O)/C=C/c2ccc(F)cc2)CC1,2.024633418
O=C(NCc1ccc(F)cc1)C1CCN(C(=O)/C=C/c2ccccc2)CC1,2.123668742
O=C(NCc1cc(F)cc(F)c1)c1ccccn1,1.713036691
O=C(NCc1ccc(F)cc1)c1ccccn1,1.3250228
O=C(C1CC1c1ccc(F)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,2.366900885
O=C(C1CC1c1ccccc1F)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,3.076226338
Nc1nnc(SCCSC2CCCCC2)n1C1CC1,2.76529593
OCc1nnc(SCCSC2CCCCC2)n1C1CC1,2.862259024
NCc1ccc(-n2cnc3ccccc32)cc1Cl,1.557001634
Nc1ccc2c(c1)ncn2-c1ccccc1,1.402312979
N#CCCN(C(=O)c1cccs1)C12CC3CC(CC(C3)C1)C2,3.364089817
N#CCCN(C(=O)c1sccc1C#N)C12CC3CC(CC(C3)C1)C2,3.203705577
Fc1cc(Br)ccc1CNCc1ccccn1,2.648480035
N#Cc1cccc(CNCc2ccccn2)c1,1.481084152
Cn1nc(-c2cc(F)cc(F)c2)cc1N,1.687858793
NC(=O)Cn1ccc(-c2ccccc2)n1,1.027920136
Cc1ncsc1CNc1nnc(-c2ccncc2)o1,1.788627886
